Iteration,SampleCount,P_MASS_EST,P_MASS_EST_Weight
56,49,,
55,148,1.824892482989555e-12,141
54,73,3.801673261908231e-12,56
53,34,0.01542844260295866,27
52,28,0.28708470387530105,22
51,114,0.017292973901306394,111
50,90,1.0163777700432144,76
49,131,29.496737091636803,125
48,149,49.04940103907366,132
47,200,169.998718187984,183
46,186,186.24979611991262,154
45,55,447.49103072978056,38
44,1208,481.0839676075671,1205
43,148,350.737124599662,10
42,627,115.82810814471593,626
41,52,823.0842250214852,3
40,2,91.46197860103283,1
39.0,3.0,,
37,8,57.600713438696964,7
36.0,24.0,,
35,6,38.14608265236669,2
34,13,51.53028525720721,12
33,12,45.52742452382001,11
32,16,174.12432396729037,11
31,53,548.4646098654472,52
30,9,51.384437764549,5
29,9,,
28,4,,
27,11,,
26,8,530.1951399737663,6
25,60,,
24,7,,
23.0,3.0,,
18.0,1.0,,
16.0,1.0,,
