Iteration,SampleCount,P_MASS,P_MASS_Weight
56,51,,
55,141,5.110223518854733e-12,136
54,82,0.035603620356466796,60
53,30,0.08167567544662979,27
52,28,103.3727214526587,22
51,118,238.05699103061656,115
50,86,703.8883158090425,73
49,138,393.0083986946983,106
48,151,698.3822347812678,112
47,208,339.7171211148796,132
46,181,604.3677006583665,25
45,44,382.6717833562399,8
44,1345,34.97915491987959,2
43,11,,
42,675,,
41.0,4.0,,
40.0,1.0,,
39.0,3.0,,
38.0,1.0,,
37,6,,
36,26,130.5023438032709,25
35,6,147.04625481032267,3
34,11,,
33,16,686.4206301691474,14
32,10,150.9343343622815,6
31,59,98.0846135552903,26
30,6,99.5227193228606,5
29,9,44.75905922791841,3
28,4,74.91505037071371,2
27,13,65.81310720513748,6
26,5,48.65899852692573,4
25,59,130.00310055017275,39
24.0,9.0,,
23.0,3.0,,
19.0,1.0,,
16.0,1.0,,
