Iteration,SampleCount,S_HZ_CON_MAX,S_HZ_CON_MAX_Weight
56,51,,
55,148,0.043476560419264204,143
54,74,0.0269166603326141,59
53,33,0.017082477152237232,29
52,27,0.0378154274162894,23
51,115,0.024135441555619155,113
50,88,0.03087934949174986,76
49,137,0.019436111996948512,131
48,146,0.01698165145212072,135
47,208,0.008894012388749642,194
46,178,0.006832953515477008,157
45,50,0.008687030104973651,36
44,1210,0.0051405744666247356,1205
43,147,0.002846964868771044,9
42,601,0.00510785340467683,599
41,80,0.0060218072958611035,4
40,1,,
39,3,,
38,1,,
37,7,0.008576618883042952,2
36,24,,
35,7,,
34,13,,
33,16,,
32,12,0.005533779891601531,2
31,53,0.003047361733303935,26
30,8,,
29,9,,
28,4,,
27,13,,
26,6,,
25,67,,
23,3,,
19,1,,
16,1,,
