Iteration,SampleCount,S_HZ_CON_MAX,S_HZ_CON_MAX_Weight
56,51,,
55,148,0.6720153942411973,143
54,72,0.7352826519035801,57
53,33,0.8099516305320726,27
52,27,0.7339411844299581,21
51,116,0.7064382364265771,112
50,84,0.7376125997545839,71
49,138,0.8135275460272524,127
48,146,0.9575531277397387,131
47,210,0.8231297867051892,192
46,177,0.9443088762855657,154
45,57,0.8963871085700642,40
44,1221,0.527750664346339,1220
43,133,0.5204606359384879,10
42,605,0.5538043398870796,604
41,75,0.8417577210288187,4
40,1,,
39,3,,
38,1,,
37,7,0.09209689936039922,2
36,24,,
35,7,,
34,13,,
33,16,,
32,12,0.899225082726705,2
31,53,0.5369261593362754,26
30,8,,
29,9,,
28,4,,
27,13,,
26,6,,
25,67,,
23,3,,
19,1,,
16,1,,
