Iteration,SampleCount,S_HZ_CON_MAX,S_HZ_CON_MAX_Weight
56,51,0.523576336901855,50
55,150,0.33863659707728333,144
54,72,0.18690465788056168,58
53,36,0.19963632941111994,31
52,26,0.16078585719810448,24
51,115,0.1295114531728829,114
50,84,0.39664019213547225,73
49,137,0.31712896413805763,128
48,152,0.13480072067011584,138
47,206,0.20190036694603447,195
46,167,0.14025368452484696,147
45,61,0.17014889544547396,37
44,1210,0.09409481362347659,1206
43,148,0.12057425653888275,11
42,606,,
41,71,0.10460366110759889,2
40,3,,
39,3,,
38,1,,
37,7,0.09734541577196232,2
36,26,,
35,5,,
34,13,,
33,16,,
32,11,0.2055521132527951,1
31,54,0.02528701831065218,26
30,8,,
29,9,,
28,4,,
27,13,,
26,6,,
25,67,,
23,3,,
19,1,,
16,1,,
