Iteration,SampleCount,S_HZ_CON_MAX,S_HZ_CON_MAX_Weight
56,55,,
55,149,1.2272465326261866e-15,148
54,71,4.218166435451309e-11,61
53,32,5.2133172438277124e-08,30
52,24,1.1476211328266737e-07,21
51,117,1.662850451998267e-06,113
50,84,0.0005100728042625723,72
49,141,0.3337357288424345,131
48,142,0.8874791686133107,131
47,218,0.8083080661179821,200
46,165,0.933355446255101,150
45,60,0.8865746944544299,39
44,1201,0.5344666244423427,1199
43,154,0.5740817411925593,10
42,600,0.5473263203520387,599
41,80,0.8621062854171294,4
40,1,,
39,3,,
38,1,,
37,6,0.11336366255366226,1
36,28,0.8130388183530578,27
35,4,,
34,13,,
33,16,,
32,12,0.9205516483157792,2
31,52,0.48222107880624443,25
30,9,,
29,9,,
28,4,,
27,13,,
26,6,,
25,67,,
23,3,,
19,1,,
16,1,,
