Iteration,SampleCount,S_HZ_CON_MAX,S_HZ_CON_MAX_Weight
56,55,0.9965709895993262,54
55,147,0.09970116370140412,145
54,71,0.04914316392559676,58
53,37,0.07207801922863946,32
52,25,0.09220643229143319,24
51,116,0.057163410048504754,115
50,85,0.14698390341128537,75
49,139,0.06261039247339599,132
48,140,0.05646334197336284,130
47,208,0.06692615252624465,189
46,180,0.0467197145608837,154
45,52,0.04395347831472399,35
44,1213,0.04323067981049539,1207
43,145,0.02615523353677276,9
42,608,0.03551741713342024,606
41,73,0.09139125946929127,4
40,1,,
39,3,,
38,1,,
37,6,0.023373248522353673,1
36,25,0.054243443308708936,24
35,7,,
34,13,,
33,16,,
32,11,0.04584712441670069,1
31,52,0.015436621257839206,24
30,10,,
29,9,,
28,4,,
27,13,,
26,6,,
25,67,,
23,3,,
19,1,,
16,1,,
