Iteration,SampleCount,S_HZ_CON_MAX,S_HZ_CON_MAX_Weight
56,51,,
55,149,0.28873722873311936,144
54,72,0.26470392594678493,58
53,35,0.3170403976363357,30
52,27,0.2986131812874514,24
51,111,0.22055137385126763,110
50,86,0.2683241441730997,71
49,138,0.2752481713308258,127
48,149,0.25969687762133187,134
47,205,0.2538054401295857,190
46,181,0.28638578540197673,156
45,55,0.32839338528551865,40
44,1213,0.20585591024763544,1212
43,140,0.22608930949148756,9
42,605,0.2199627066249429,603
41,75,0.4701917889349428,3
40,2,,
39,3,,
38,1,,
37,7,0.09980438853718698,2
36,25,,
35,6,,
34,13,,
33,16,,
32,11,0.4244893379701491,1
31,56,0.2135596684896346,28
30,6,,
29,9,,
28,4,,
27,13,,
26,6,,
25,67,,
23,3,,
19,1,,
16,1,,
