Iteration,SampleCount,S_HZ_CON_MAX,S_HZ_CON_MAX_Weight
56,51,,
55,145,0.3492942634858177,140
54,75,0.36225641404014425,57
53,38,0.40965287472305756,32
52,24,0.4865931167066296,23
51,108,0.2736589192223458,106
50,90,0.3905257774927754,71
49,139,0.30337102644392255,128
48,151,0.3182563649939289,137
47,207,0.3524469363445277,195
46,178,0.3121024673712747,158
45,50,0.3106782024093885,37
44,1225,0.2131841164772405,1221
43,131,0.281952144401701,9
42,597,0.21943878197952257,595
41,83,0.12916462387642355,3
40,2,,
39,3,,
38,1,,
37,7,0.18847162004107598,2
36,27,,
35,4,,
34,13,,
33,16,,
32,12,0.13090085548624497,2
31,51,0.18498026656864822,24
30,10,,
29,9,,
28,4,,
27,13,,
26,6,,
25,67,,
23,3,,
19,1,,
16,1,,
