Iteration,SampleCount,S_HZ_CON_MAX,S_HZ_CON_MAX_Weight
56,55,0.8582787211764705,51
55,150,0.6701131578257713,145
54,68,0.7451031056364098,55
53,36,0.8204255256790559,28
52,29,0.9294078294227867,24
51,113,0.6930410249480676,112
50,79,0.7517011075001103,66
49,141,0.7684542416458817,125
48,151,0.9236139033463424,134
47,211,0.8372100281858567,196
46,177,0.9415363315151514,158
45,46,0.917053438331764,33
44,1217,0.5327370495074417,1209
43,144,0.6071042490676857,10
42,616,0.5465109342496531,615
41,64,0.8421761513547652,4
40,1,,
39,3,,
38,1,,
37,7,0.09251482234433173,2
36,27,,
35,4,,
34,13,,
33,16,,
32,12,0.9009820848674039,2
31,53,0.5146788826376575,26
30,8,,
29,9,,
28,4,,
27,13,,
26,6,,
25,67,,
23,3,,
19,1,,
16,1,,
