Iteration,SampleCount,S_HZ_CON_MAX,S_HZ_CON_MAX_Weight
56,55,0.9090154223333333,54
55,144,0.6875102619943663,142
54,70,0.7491103424803679,54
53,40,0.8354231702299747,31
52,25,0.9917511846477696,23
51,115,0.7107426623438995,113
50,87,0.7750490756503104,75
49,135,0.8190610811520304,128
48,148,0.9361827703401181,134
47,208,0.863451988977005,193
46,177,0.9278849073106926,155
45,54,0.9049157642849643,38
44,1208,0.5348863668481892,1205
43,149,0.5913227063910959,11
42,601,,
41,78,0.83488929207575,4
40,1,,
39,3,,
38,1,,
37,7,0.08523679829936248,2
36,28,,
35,3,,
34,13,,
33,16,,
32,12,0.8933638827710666,2
31,53,0.5323857112076247,26
30,8,,
29,9,,
28,4,,
27,13,,
26,6,,
25,67,,
23,3,,
19,1,,
16,1,,
