Iteration,SampleCount,S_HZ_CON_MAX,S_HZ_CON_MAX_Weight
56,51,,
55,150,0.08596439652531607,145
54,71,0.06871464732712437,58
53,37,0.07822192718268037,32
52,24,0.07876155685252458,23
51,115,0.04404398560703686,113
50,83,0.15436929781754719,71
49,145,0.06754140906777532,134
48,144,0.04796606273535027,136
47,204,0.04800075755438924,191
46,171,0.05214526218120213,147
45,61,0.047055801362727065,37
44,1202,0.03418127306935352,1198
43,156,0.034691369317612464,11
42,611,,
41,68,0.09112152270961116,4
40,1,,
39,3,,
38,1,,
37,7,0.03099154464877918,2
36,26,,
35,5,,
34,13,,
33,16,,
32,12,0.08376306242061826,2
31,53,0.013365297070300054,26
30,8,,
29,9,,
28,4,,
27,13,,
26,6,,
25,67,,
23,3,,
19,1,,
16,1,,
