Iteration,SampleCount,S_HZ_CON_MAX,S_HZ_CON_MAX_Weight
56,50,1.539624512758602,47
55,156,0.2855350510883649,147
54,64,0.10739792972891357,53
53,42,0.09055207054079825,32
52,22,0.07244667146489019,21
51,118,0.1304823946379227,114
50,89,0.14618892644581558,78
49,134,0.08025292544330594,130
48,146,0.1005843159234567,134
47,209,0.057801740583553564,194
46,170,0.03840946026061455,149
45,61,0.04085117285179704,39
44,1205,0.059087362090536284,1203
43,150,0.016829134087109704,10
42,612,0.050661023267906106,611
41,68,0.14933791282013242,4
40,1,,
39,3,,
38,1,,
37,6,0.0984245863332136,1
36,28,0.05423635723029866,27
35,4,,
34,13,,
33,16,,
32,11,0.0022763179792208987,1
31,54,0.03400506907594821,26
30,8,,
29,9,,
28,4,,
27,13,,
26,6,,
25,67,,
23,3,,
19,1,,
16,1,,
