Iteration,SampleCount,S_HZ_CON_MAX,S_HZ_CON_MAX_Weight
56,52,,
55,147,0.1137262076223776,143
54,70,0.024689639272727305,55
53,37,0.048133739655172376,29
52,29,0.05669368159999988,25
51,112,,
50,89,0.027262605394736832,76
49,140,0.022984406313432838,134
48,137,0.0292792668217054,129
47,218,0.016356655505050516,198
46,170,0.01252575381045751,153
45,56,0.011930518684210533,38
44,1199,0.007828373603678928,1196
43,156,0.001377954444444471,9
42,619,0.0038832016693679154,617
41,61,0.0013415333333333852,3
40,2,,
39,3,,
38,1,,
37,6,0.01947650000000012,1
36,23,0.0030794827272727036,22
35,9,,
34,13,,
33,16,,
32,12,0.0,2
31,51,0.00035189666666667524,24
30,10,,
29,9,,
28,4,,
27,13,,
26,6,,
25,67,,
23,3,,
19,1,,
16,1,,
