Iteration,SampleCount,S_HZ_CON_MAX,S_HZ_CON_MAX_Weight
56,53,1.1797919682352942,51
55,138,0.1312993767669173,133
54,85,0.03769771883333336,60
53,33,0.05264920899999998,30
52,26,0.04093838086956513,23
51,112,0.02951666390909093,110
50,92,0.02476210571428572,77
49,133,0.03563640848437501,128
48,148,0.047765241761194,134
47,208,0.021941822911917108,193
46,174,0.01703635950657896,152
45,59,0.009023227000000002,40
44,1211,0.007707911760330576,1210
43,143,0.002398079999999958,10
42,613,0.004060950032679729,612
41,67,0.0004911999999999139,4
40,1,,
39,3,,
38,1,,
37,6,0.0008299999999998864,1
36,25,0.003543161666666702,24
35,7,,
34,13,,
33,16,,
32,12,0.0,2
31,53,0.000903742307692314,26
30,8,,
29,9,,
28,4,,
27,13,,
26,6,,
25,67,,
23,3,,
19,1,,
16,1,,
