Iteration,SampleCount,S_HZ_CON_MAX,S_HZ_CON_MAX_Weight
56,48,,
55,149,0.04073934669071704,141
54,72,0.026384614232830388,55
53,36,0.01867014132725294,28
52,29,0.03841129502044118,24
51,114,0.023143373591136846,113
50,89,0.031274493756194004,77
49,129,0.018026513142973113,124
48,152,0.017677333446482153,134
47,212,0.009666935032567447,197
46,172,0.007096930629660638,154
45,54,0.009103737370036934,37
44,1221,0.0053643571177055364,1217
43,137,0.0049583247182996915,11
42,596,,
41,82,0.00446401710862343,3
40,2,,
39,3,,
38,1,,
37,7,0.009095239144711553,2
36,27,,
35,4,,
34,13,,
33,16,,
32,12,0.0053885504727189115,2
31,55,0.003408246269788937,28
30,6,,
29,9,,
28,4,,
27,13,,
26,6,,
25,67,,
23,3,,
19,1,,
16,1,,
