Iteration,SampleCount,S_HZ_CON_MAX,S_HZ_CON_MAX_Weight
56,49,,
55,150,0.20842829089820286,143
54,72,0.17118152187002622,57
53,36,0.11731311308162023,30
52,24,0.28589676587616664,21
51,113,0.17192600432082072,109
50,92,0.2703277239427089,76
49,133,0.1476763655658249,127
48,147,0.17662145312504018,132
47,218,0.17740436660520964,201
46,165,0.14885975686062886,151
45,59,0.19060023249624156,39
44,1214,0.14983271508549234,1212
43,140,0.06856382232705066,9
42,604,0.12873757090277033,602
41,77,0.11878240590842759,4
40,1,,
39,3,,
38,1,,
37,7,0.052449361507505565,2
36,24,,
35,7,,
34,13,,
33,16,,
32,12,0.048057520617151184,2
31,55,0.04741452110631798,28
30,6,,
29,9,,
28,4,,
27,13,,
26,6,,
25,67,,
23,3,,
19,1,,
16,1,,
