Iteration,SampleCount,S_HZ_CON_MAX,S_HZ_CON_MAX_Weight
56,51,0.5341078067554424,50
55,148,0.04091969427258784,142
54,72,0.03028800335997244,56
53,35,0.016130823240171694,28
52,28,0.03743942249906319,23
51,122,0.023958161635366772,120
50,79,0.029394606318140722,74
49,139,0.020096643431183604,131
48,140,0.016540227723128423,129
47,214,0.009404151966094362,194
46,177,0.007205230328587473,156
45,49,0.00936364595022983,34
44,1207,0.0051762641819826875,1200
43,154,0.0038021142488725516,11
42,615,,
41,64,0.005891811368583855,4
40,1,,
39,3,,
38,1,,
37,7,0.00807414188423039,2
36,23,,
35,8,,
34,13,,
33,16,,
32,12,0.0050717941744307105,2
31,52,0.0031490758067045065,25
30,9,,
29,9,,
28,4,,
27,13,,
26,6,,
25,67,,
23,3,,
19,1,,
16,1,,
