Iteration,SampleCount,S_HZ_CON_MAX,S_HZ_CON_MAX_Weight
56,48,0.6227278423675797,47
55,156,0.30303749466527946,147
54,70,0.25857109401974154,59
53,34,0.29199493143980293,30
52,25,0.3186082282930674,22
51,121,0.2176031508081283,118
50,80,0.29604155486198014,73
49,137,0.2679526574171646,128
48,148,0.2685994947058848,134
47,208,0.25899140269300136,193
46,177,0.293058375187456,155
45,54,0.32809926719698057,38
44,1210,0.2034277497168268,1207
43,145,0.26191221873318205,9
42,605,0.21505678548501347,603
41,76,0.4643541484795607,4
40,1,,
39,3,,
38,1,,
37,7,0.1003507007907124,2
36,23,,
35,8,,
34,13,,
33,16,,
32,12,0.4643833073927728,2
31,52,0.2058880991302498,25
30,9,,
29,9,,
28,4,,
27,13,,
26,6,,
25,67,,
23,3,,
19,1,,
16,1,,
