Iteration,SampleCount,S_HZ_CON_MAX,S_HZ_CON_MAX_Weight
56,48,,
55,150,1.173552647860817e-15,142
54,73,9.521391277750605e-11,57
53,37,6.565288820943549e-05,31
52,25,6.130385979589197e-08,23
51,114,0.001411690283516831,112
50,86,0.01604060334555314,73
49,135,0.08166717957627839,126
48,156,0.8732737921112146,140
47,201,0.811672708345065,192
46,177,0.7243889588110344,154
45,57,0.8225532033645648,40
44,1202,0.5559915588993881,1201
43,153,0.709467840798638,11
42,610,,
41,68,0.6921779708320902,3
40,2,,
39,3,,
38,1,,
37,7,0.20505259583984004,2
36,24,,
35,7,,
34,13,,
33,16,,
32,12,0.6694687157632035,2
31,54,0.5511159862919089,27
30,7,,
29,9,,
28,4,,
27,13,,
26,6,,
25,67,,
23,3,,
19,1,,
16,1,,
