Iteration,SampleCount,S_HZ_CON_MAX,S_HZ_CON_MAX_Weight
56,55,0.551315652224473,53
55,148,0.2011945993106202,145
54,69,3.1159552077050754,56
53,37,0.3685612718183929,30
52,23,3.1227660055942654,20
51,122,4.180564609414513,117
50,80,14.617339183191936,72
49,138,0.8638478290483123,128
48,145,0.8629863727035278,131
47,213,0.7376514919830626,195
46,170,0.8037424637051032,150
45,59,0.7809133512272894,38
44,1214,0.49204666750650056,1211
43,143,0.5117038709374712,11
42,604,,
41,75,0.9390796140133373,4
40,1,,
39,3,,
38,1,,
37,7,0.19076709545673864,2
36,25,,
35,6,,
34,13,,
33,16,,
32,12,0.9979236490674184,2
31,53,0.5157366001163197,26
30,8,,
29,9,,
28,4,,
27,13,,
26,6,,
25,67,,
23,3,,
19,1,,
16,1,,
