Iteration,SampleCount,S_HZ_CON_MAX,S_HZ_CON_MAX_Weight
56,52,,
55,150,0.04135439856711993,146
54,72,0.026483077057538423,60
53,36,0.01600126224334853,33
52,21,,
51,119,0.023726702475342906,115
50,87,0.02917680142737501,77
49,136,0.01768190439073066,131
48,140,0.016943573014895276,129
47,210,0.009350729875834662,190
46,177,0.007227466190271328,152
45,58,0.008988419641990578,39
44,1200,0.00516964446213401,1198
43,155,0.0037903347537113995,10
42,607,0.005383359825889271,606
41,72,0.007472606711627232,3
40,2,,
39,3,,
38,1,,
37,7,0.008736598435043819,2
36,26,,
35,5,,
34,13,,
33,16,,
32,12,0.006258906821804633,2
31,53,0.003091359623092055,26
30,8,,
29,9,,
28,4,,
27,13,,
26,6,,
25,67,,
23,3,,
19,1,,
16,1,,
