Iteration,SampleCount,S_HZ_CON_MAX,S_HZ_CON_MAX_Weight
56,48,0.7863060272378741,47
55,152,0.803023290418677,143
54,71,0.19578587654511714,56
53,35,0.18514639819491993,28
52,27,0.10002477723798568,22
51,118,0.11801790490096718,115
50,82,0.27157959092013806,72
49,142,0.1725100363254327,132
48,146,0.1395987683402813,136
47,215,0.15662033733242964,202
46,163,0.12203387693367668,150
45,58,0.12628255330487134,37
44,1214,0.12900214216840478,1210
43,143,0.1567405749320161,10
42,597,0.07541141274502604,596
41,83,0.2902704357769107,4
40,1,,
39,3,,
38,1,,
37,7,0.18954401177952962,2
36,27,,
35,4,,
34,13,,
33,16,,
32,12,0.25352975111281495,2
31,55,0.051350144942313346,28
30,6,,
29,9,,
28,4,,
27,13,,
26,6,,
25,67,,
23,3,,
19,1,,
16,1,,
