Iteration,SampleCount,S_HZ_CON_MAX,S_HZ_CON_MAX_Weight
56,47,,
55,155,9.47382917929481e-11,146
54,68,9.50160164833339e-10,56
53,34,1.045187400180694e-06,27
52,29,0.00015833681126528127,23
51,115,0.0027687682141020807,113
50,86,0.7382662229428054,74
49,138,0.8317281995111653,130
48,151,0.9513637842967108,139
47,201,0.8718122468056195,191
46,181,0.9488533248408679,157
45,48,0.8383568278783268,34
44,1213,0.7704592037499344,1206
43,144,0.7050670414485978,7
42,611,0.5523047109737984,607
41,72,0.8292489369723486,4
40,1,,
39,3,,
38,1,,
37,7,0.09529519954263654,2
36,27,,
35,4,,
34,13,,
33,16,,
32,12,0.8940812215966083,2
31,53,0.5155025578909816,26
30,8,,
29,9,,
28,4,,
27,13,,
26,6,,
25,67,,
23,3,,
19,1,,
16,1,,
