Iteration,SampleCount,P_IMPACT_PARAMETER,P_IMPACT_PARAMETER_Weight
56,52,0.28823831419902884,51
55,148,0.26742949487433504,134
54,74,7.310264895608383,42
53,36,0.20762345677387073,18
52,24,5.176552589094639,10
51,125,29.00768384659546,35
50,84,29521642428.805656,9
49,140,7480.2308608579015,24
48,150,4448.528501959481,26
47,210,3176464.80268718,59
46,162,50880810.40819457,107
45,54,12034187.272443917,13
44,1345,6058383.284603248,3
43,11,6950794.739699136,8
42,597,4115991.325012468,596
41,82,,
40.0,1.0,,
39.0,3.0,,
38.0,1.0,,
37,7,3032069.0119012673,1
36.0,28.0,,
35,3,,
34,13,,
33,16,7897825.896261318,1
32,12,2711796.4152927822,1
31,56,,
30,5,,
29,7,5591027.394376427,4
28,6,646232.8061747923,2
27,13,12055179.28910362,2
26,6,,
25,65,1957263.4725117362,14
24.0,2.0,,
23.0,3.0,,
19.0,1.0,,
16.0,1.0,,
