Iteration,SampleCount,S_ABIO_ZONE,S_ABIO_ZONE_Weight
56,46,,
55,151,0.3346511581045684,141
54,73,0.2948345564308591,56
53,40,0.27068176359598184,33
52,22,,
51,124,0.2810145891368953,121
50,71,21073945.394891787,67
49,143,312.35748093444,128
48,150,378.50911942331845,136
47,208,11820.1586135404,195
46,177,161545.57859411577,156
45,49,50099.069378193526,34
44,1210,990.9702358872117,1203
43,149,392.84564119624747,9
42,676,245.55993563081196,1
41.0,3.0,,
40,2,,
39.0,3.0,,
38.0,1.0,,
37,7,,
36.0,28.0,,
35,3,896.3323256428491,1
34,13,277.6360092725004,4
33,15,403.23423874062394,9
32,13,697.590750597356,2
31,52,304.7965756652044,11
30,9,,
29,9,,
28,4,,
27,13,783.0721684963553,1
26,6,,
25,67,,
23.0,3.0,,
19.0,1.0,,
16.0,1.0,,
