Iteration,SampleCount,P_DISTANCE_EFF,P_DISTANCE_EFF_Weight
56,54,0.12833345123624101,53
55,145,0.012971960348391338,142
54,71,0.009525121046696935,55
53,39,0.004822388447451326,31
52,22,0.006479088001313515,20
51,116,0.005527322324384472,111
50,87,1931264.639065285,73
49,136,0.1657640185688622,127
48,158,0.04006781313681532,143
47,207,0.10512375377249152,201
46,164,6.956913557899338,150
45,57,0.7420385307465244,36
44,1209,0.4652674979282772,1204
43,149,0.42420112557376743,10
42,602,0.34338398445039786,601
41,77,1.240207510504482,3
40,2,0.33485849754537317,1
39,1,,
38,3,0.288901499163476,1
37,6,0.148902254342262,4
36,29,,
35,3,,
34,12,,
33,15,1.1293437711136491,14
32,14,0.7229589631155942,10
31,51,0.6512511158893707,22
30,10,0.7185382900187959,5
29,9,,
28,4,,
27,12,,
26,6,2.592948011491902,5
25,62,1.341312674528763,61
24,6,,
23,3,,
19,1,,
16,1,,
