Iteration,SampleCount,P_DISTANCE_EFF,P_DISTANCE_EFF_Weight
56,54,0.12225738136792454,53
55,145,0.48359680116480364,142
54,76,0.45486432259911036,60
53,34,0.46933247017751856,31
52,26,0.4761832001824906,24
51,120,0.4659394032794843,119
50,79,0.7544780747047493,73
49,134,0.3714683267893194,125
48,151,0.3659761907866562,134
47,205,0.37103613493816057,190
46,182,0.386121887814785,157
45,50,0.3702757512983893,36
44,1201,0.35934249729674955,1196
43,158,0.377768154169474,11
42,606,,
41,73,0.48177413378225553,4
40,1,,
39,2,,
38,2,0.2932808807659282,1
37,7,0.28693967853553676,5
36,28,,
35,3,,
34,12,,
33,15,0.4703485496755273,14
32,11,0.3566550078672846,7
31,56,0.28317871889245194,24
30,7,0.288962362106146,4
29,9,0.320630267495829,8
28,5,0.35719457083644995,4
27,12,,
26,6,0.7513141255882155,5
25,63,0.241746565999029,62
24,5,,
23,2,,
22,1,,
19,1,,
16,1,,
