Iteration,SampleCount,P_DISTANCE_EFF,P_DISTANCE_EFF_Weight
56,53,,
55,136,0.055652157118797,133
54,82,0.058384421059649125,57
53,37,0.03333462929316129,31
52,25,0.020849645376000002,23
51,105,0.023802462357514563,103
50,95,0.7963501149299725,73
49,139,0.2859700703632,130
48,144,0.1903709906292121,132
47,212,0.12675008317058462,195
46,175,0.04967217424534709,155
45,55,0.05510393105353847,39
44,1215,0.06365892705942028,1213
43,141,0.07797404721454547,11
42,610,,
41,68,0.08921338340000005,3
40,2,0.15543674219999998,1
39,2,,
38,2,0.009978750199999997,1
37,7,0.07083046816,5
36,28,,
35,3,,
34,12,,
33,17,0.43547194301250003,16
32,10,0.2661592415299999,8
31,55,0.13061361491833334,24
30,5,0.24273150650000003,2
29,10,0.04327575880685714,7
28,6,0.13509886189000023,4
27,12,,
26,6,1.621560180072,5
25,61,0.45711745340053334,60
24,7,,
23,3,,
19,1,,
16,1,,
