Iteration,SampleCount,P_DISTANCE_EFF,P_DISTANCE_EFF_Weight
56,49,,
55,149,0.4877310398379829,142
54,74,0.4654998704579234,58
53,37,0.483248195271203,32
52,24,0.4938821477533825,23
51,116,0.4771730963210154,114
50,79,0.6051619776180389,68
49,140,0.3628459845274461,126
48,150,0.37945888887482704,134
47,214,0.37198414373931105,199
46,174,0.40354055699165164,158
45,47,0.38497491091102776,34
44,1206,0.3813042753000751,1199
43,155,0.375931031438906,11
42,610,,
41,69,0.45824973527441076,4
40,1,,
39,3,,
38,1,,
37,6,0.3011479840656744,4
36,29,,
35,1,,
34,12,0.3795742378906782,10
33,17,0.42396988541717323,14
32,13,0.31990783271296,9
31,55,0.2612934654011167,25
30,7,0.2491971595488334,5
29,9,,
28,3,,
27,14,0.26530603701955635,13
26,6,,
25,59,,
24,8,,
23,2,,
22,1,,
19,1,,
16,1,,
