Iteration,SampleCount,P_DISTANCE_EFF,P_DISTANCE_EFF_Weight
56,48,0.4267006676538909,47
55,154,0.23675231696530125,145
54,72,0.20260420142161376,59
53,34,0.1831993458339976,30
52,28,0.23689395349909143,25
51,110,,
50,94,0.25678329377684095,79
49,122,0.3104472653331806,119
48,153,0.15583647169943246,130
47,207,0.13666483127872356,188
46,182,0.07316641987044069,155
45,54,0.10669030634569093,38
44,1213,0.08922037165646254,1210
43,144,0.04451769545613136,11
42,614,,
41,65,0.471030181237598,4
40,1,,
39,3,,
38,1,,
37,7,0.13726260742617624,5
36,28,,
35,2,,
34,12,0.19517320542750613,11
33,18,0.16786133552019722,16
32,9,0.13313968140494492,7
31,55,0.06818678410689162,23
30,9,0.10895764091708735,5
29,5,,
28,8,0.15674232682491213,4
27,10,,
26,8,0.160269547144584,5
25,64,0.2930480901784057,63
24,4,,
23,2,,
22,1,,
19,1,,
16,1,,
