Iteration,SampleCount,P_DISTANCE_EFF,P_DISTANCE_EFF_Weight
56,54,,
55,140,0.014565100623188412,138
54,76,0.007500026982142857,56
53,39,0.007405706284375001,32
52,25,0.0021035913458333335,24
51,109,0.007916419685185184,108
50,91,0.375150940768919,74
49,131,0.04761565638211385,123
48,151,0.02083335668181819,132
47,213,0.02749966915816327,196
46,171,0.003243102125000002,152
45,55,0.0036436019444444586,36
44,1206,0.02311182890907577,1201
43,150,0.010776681624999994,8
42,623,0.000815663877419355,620
41,58,0.038557800000000024,3
40,2,0.00011305099999999943,1
39,3,,
38,1,,
37,7,0.0006622580000000044,5
36,28,,
35,3,,
34,12,,
33,17,0.1014393468125,16
32,12,0.040722817399999965,10
31,54,0.01934174879999997,25
30,7,0.0021051005999999845,5
29,6,,
28,6,0.14244280666666653,3
27,11,0.012812334980000076,10
26,9,0.036166067333333246,6
25,60,,
24,7,,
23,3,,
19,1,,
16,1,,
