Iteration,SampleCount,P_DISTANCE_EFF,P_DISTANCE_EFF_Weight
56,51,,
55,151,0.2731457532649289,146
54,70,0.12791177010766913,58
53,34,0.1156556720595102,29
52,25,0.15991127725620902,21
51,117,0.13888808498080887,113
50,89,0.17054132457863086,77
49,135,0.18475827503520298,130
48,147,0.15338209823041404,135
47,208,0.13511288746430106,194
46,169,0.14360573597799162,148
45,59,0.10727096726814114,36
44,1208,0.07492467094365693,1203
43,150,0.07852027554153676,10
42,609,0.06584257704653534,608
41,71,0.1041970966205173,4
39,3,0.11700635656616432,2
38,2,0.09535414104688669,1
37,6,0.3228976917274034,4
36,29,,
35,2,,
34,11,0.1355389091716932,10
33,18,0.18152353074072458,15
32,11,0.12684652335782373,8
31,52,0.05390488756465628,21
30,11,0.25255915497817427,5
29,9,,
28,3,,
27,13,0.15738204692123844,12
26,7,0.350559346858847,6
25,63,,
24,4,,
23,2,,
22,1,,
19,1,,
16,1,,
