Iteration,SampleCount,P_DISTANCE_EFF,P_DISTANCE_EFF_Weight
56,53,0.13715516683446258,51
55,150,0.05913401047057966,145
54,64,0.0289854996262554,51
53,40,0.031134883036733393,28
52,29,0.025853658911743516,24
51,114,0.01596891251562388,113
50,83,0.36701139484820655,71
49,133,0.04209601810489186,122
48,155,0.01917654006093204,135
47,208,0.015895748523119573,194
46,163,0.009621857901279389,142
45,65,0.016649350224515597,36
44,1237,0.011309307500277727,1232
43,118,0.019209808006299865,7
42,613,0.003949688686514237,609
41,69,0.020936211976435377,3
40,2,0.006150065991744318,1
39,1,,
38,3,0.0069202735366666185,1
37,6,0.008858920633844159,4
36,29,,
35,3,,
34,12,,
33,17,0.02278890950723511,16
32,11,0.017606727882675276,9
31,52,0.01322635784531186,22
30,10,0.02251493887315802,5
29,9,,
28,4,,
27,10,,
26,9,0.05348451463760566,6
25,60,,
24,7,,
23,2,,
22,1,,
19,1,,
16,1,,
