Iteration,SampleCount,P_DISTANCE_EFF,P_DISTANCE_EFF_Weight
56,51,,
55,138,0.09528104147605858,133
54,82,0.08363644721813102,57
53,36,0.06784965166732866,30
52,25,0.05587336425232067,22
51,112,0.0538276530798982,109
50,89,1.144607746538251,73
49,136,0.8671329175931355,127
48,156,0.5335661389779903,141
47,203,0.6977963208955781,195
46,173,0.3990335995870737,153
45,54,0.5191458010475638,36
44,1209,0.31644896292794783,1204
43,149,0.29858352988926856,10
42,613,0.17743091710191897,612
41,67,1.0140425725,4
39,3,0.10278318249999999,2
38,2,0.224237231729917,1
37,7,0.12244306439102587,5
36,28,,
35,3,,
34,13,,
33,15,,
32,12,0.34853034760301743,9
31,52,0.7270728752180862,22
30,10,0.6729846914962021,5
29,9,,
28,4,,
27,12,,
26,7,2.251817987006112,6
25,60,,
24,7,,
23,3,,
19,1,,
16,1,,
