Iteration,SampleCount,P_DISTANCE_EFF,P_DISTANCE_EFF_Weight
56,52,0.12577277830588235,51
55,149,0.05685235005083334,144
54,64,0.050645329026399996,50
53,45,0.033614984539375,32
52,25,0.02453803585533333,24
51,110,0.02204609046959266,109
50,88,0.8633091522350221,72
49,139,0.28760517406517827,129
48,147,0.1888797253397015,134
47,209,0.12651836870972372,194
46,182,0.05114708882951552,161
45,47,0.06107461628000001,37
44,1208,0.06312377819561396,1204
43,149,0.048518442935999995,10
42,610,0.03016942245122102,609
41,67,0.04237939599999996,1
40,4,0.14066581859999996,1
39,3,,
38,1,,
37,7,0.067475861568,5
36,28,,
35,1,,
34,15,0.12497742222953846,13
33,15,,
32,12,0.23316977492977772,9
31,57,0.15151533242814813,27
30,4,,
29,8,0.0711360278594285,7
28,6,0.20994818655000008,4
27,13,,
26,5,,
25,56,0.5029019555345454,55
24,12,,
23,3,,
19,1,,
16,1,,
