Iteration,SampleCount,P_DISTANCE_EFF,P_DISTANCE_EFF_Weight
56,51,0.12080286482954106,50
55,152,0.05866058039058689,146
54,70,0.02931545965300385,58
53,34,0.029336314745655945,29
52,27,0.025506019224645574,23
51,117,0.015932567747685648,115
50,82,0.33050268428328805,72
49,140,0.04356774362087001,130
48,149,0.019533531160164458,137
47,215,0.016128858084608344,203
46,167,0.008646089597177485,155
45,51,0.018322427032446412,35
44,1199,0.011677937787958866,1193
43,158,0.020241465821204903,8
42,606,0.004025798683164047,603
41,75,0.021096433250444524,3
40,2,0.0033255196807380517,1
39,3,,
38,1,,
37,7,0.012581868948069393,5
36,28,,
35,3,,
34,11,,
33,16,0.025334272800776533,14
32,14,0.02426922659963108,10
31,53,0.0158738041512258,24
30,8,0.023125322070752703,5
29,7,,
28,4,0.01797792666156671,2
27,14,0.04165998318663339,12
26,6,0.06538946654839156,5
25,62,0.052405257793082645,61
24,6,,
23,3,,
19,1,,
16,1,,
