Iteration,SampleCount,P_DISTANCE_EFF,P_DISTANCE_EFF_Weight
56,52,,
55,145,0.08155816648358452,141
54,78,0.03589909084815748,61
53,30,0.030767291058119452,28
52,26,0.05701522687655951,21
51,120,0.05290376447015329,116
50,80,0.25232476460718595,71
49,140,0.09561441369017681,129
48,146,0.06442634240542341,133
47,211,0.03022628395507687,195
46,176,0.034645587651250274,156
45,51,0.03307794577644908,36
44,1206,0.030433214226442424,1201
43,151,0.011298484502493076,9
42,608,0.02180832892654156,606
41,73,0.4381094778125504,4
40,1,,
39,2,,
38,2,0.03759261334861217,1
37,6,0.04644593226127686,4
36,29,,
35,3,,
34,12,,
33,16,0.09566442934186596,15
32,11,0.0950556906112297,8
31,57,0.04360772513594126,26
30,5,0.05883497663461038,4
29,8,0.13229531433481895,7
28,6,0.0586274196108022,4
27,12,,
26,5,0.15135585323592515,4
25,63,0.153641269252442,61
24,6,,
23,3,,
19,1,,
16,1,,
