Iteration,SampleCount,P_DISTANCE_EFF,P_DISTANCE_EFF_Weight
56,45,,
55,156,6.634548190805894e-05,145
54,69,0.0009843034028270633,56
53,38,0.00019353772491211233,31
52,27,0.0010659140858087365,25
51,112,,
50,90,1007.7562492302038,77
49,132,0.019374913968820615,127
48,154,0.0749385460591476,139
47,204,0.08727488172654921,194
46,180,0.5919217594299788,159
45,48,0.4958841799492688,36
44,1211,0.4297146004311931,1206
43,147,0.1997025597282399,10
42,593,0.07903159918973242,592
41,87,1.0140425725003288,4
40,1,,
39,3,,
38,1,,
37,7,0.19322433960217714,5
36,28,,
35,2,,
34,13,0.17974678459005092,12
33,16,1.3248882226739813,15
32,12,0.7770980546020653,9
31,54,0.5340270395636921,24
30,6,0.6687581261454758,3
29,10,0.10122180556106136,8
28,5,1.352336662121946,4
27,11,,
26,8,2.150055929642669,6
25,61,,
24,6,,
23,3,,
19,1,,
16,1,,
