Iteration,SampleCount,P_DISTANCE_EFF,P_DISTANCE_EFF_Weight
56,51,0.12351306670000001,50
55,152,0.45506779783469115,146
54,72,0.443839998757782,60
53,32,0.4547799060382296,29
52,23,0.47650713150171425,19
51,117,0.4424714857395124,111
50,88,0.6122638382004416,74
49,130,0.33775382928871606,122
48,154,0.3473966229843271,134
47,205,0.36023254670792104,190
46,174,0.4182101057276354,149
45,60,0.41300236805083335,38
44,1205,0.3940864771446402,1202
43,151,0.399262653168118,10
42,618,0.4013589954705416,617
41,61,0.5453418830583493,3
40,2,0.457906901442321,1
39,3,,
38,1,,
37,7,0.356418508573904,5
36,28,,
35,3,,
34,12,,
33,17,0.3221239269399152,16
32,11,0.3911498326056011,9
31,56,0.3216128348515603,26
30,5,0.29982247714070853,4
29,9,0.39172110712100494,8
28,5,0.5164406774359475,4
27,13,,
26,6,,
25,59,,
24,8,,
23,3,,
19,1,,
16,1,,
