Iteration,SampleCount,P_DISTANCE_EFF,P_DISTANCE_EFF_Weight
56,51,0.3832218494647726,50
55,143,0.19209035991735818,137
54,77,0.2804368061430198,56
53,37,0.202513961345014,30
52,24,0.20867265591369963,21
51,123,0.10788854130004372,119
50,82,0.2432874330887303,76
49,137,0.21362379634779294,131
48,143,0.13741807810185042,132
47,205,0.1243829725094118,188
46,183,0.09213354727723168,156
45,48,0.18105798960535133,33
44,1225,0.09404802246659308,1217
43,136,0.0705368512949254,10
42,600,0.04047408692408746,599
41,80,0.5590129053806655,4
40,1,,
39,2,,
38,2,0.07642505673895691,1
37,7,0.30780989472739917,5
36,28,,
35,3,,
34,12,,
33,16,0.14396713831068653,15
32,13,0.15933219911344307,10
31,53,0.08894105723537601,24
30,8,0.23971970103822826,5
29,9,,
28,4,,
27,13,,
26,6,,
25,55,,
24,12,,
23,3,,
19,1,,
16,1,,
