Iteration,SampleCount,P_DISTANCE_EFF,P_DISTANCE_EFF_Weight
56,50,,
55,145,0.1039685634920006,139
54,77,0.05840504281487507,58
53,36,0.09046943429073212,31
52,22,0.041216911526011354,20
51,122,0.0699179799344439,117
50,81,0.34186519146581845,73
49,140,0.08570773125492866,131
48,143,0.05816087851064313,132
47,210,0.04351215390604429,193
46,172,0.0412935971297998,150
45,61,0.048987143062000485,40
44,1203,0.036151359707600465,1202
43,151,0.032327364825707756,10
42,614,0.021835211043888997,613
41,66,0.11308025290404722,4
40,1,,
39,3,,
38,1,,
37,6,0.06456971347474809,4
36,29,,
35,2,,
34,12,0.18206300411617826,11
33,17,0.07329034725947085,15
32,12,0.08816764864612463,9
31,53,0.04129351723955941,23
30,7,0.044172929379146936,3
29,11,0.09256477906198121,9
28,2,,
27,14,0.08645790999576146,12
26,7,0.10684649395433488,6
25,59,,
24,8,,
23,3,,
19,1,,
16,1,,
