Iteration,SampleCount,P_DISTANCE_EFF,P_DISTANCE_EFF_Weight
56,48,,
55,154,0.2060481909699703,146
54,69,0.17406001268753524,57
53,35,0.126653670960859,29
52,29,0.20534896373711786,25
51,112,,
50,89,0.881380826628369,76
49,138,0.19132057611164874,132
48,141,0.11189689615579576,131
47,206,0.12892681573457762,188
46,181,0.07765243642979407,154
45,53,0.12710271356739947,36
44,1204,0.12141435601761463,1199
43,155,0.050961384061993145,11
42,610,,
41,68,0.0788278253157439,3
40,2,0.11184666272795349,1
39,3,,
38,1,,
37,6,0.10050452145652261,4
36,29,,
35,3,,
34,13,,
33,15,,
32,13,0.16193782689395197,10
31,53,0.08293624030184475,24
30,7,0.16776517697888682,4
29,9,0.06546522301698698,8
28,5,0.2316135114364269,4
27,11,,
26,6,0.30506448801975544,4
25,63,0.24755936673230308,61
24,6,,
23,3,,
19,1,,
16,1,,
