Iteration,SampleCount,P_DISTANCE_EFF,P_DISTANCE_EFF_Weight
56,49,0.11620332579999999,48
55,146,0.12426799909151907,138
54,75,0.091862548320134,55
53,36,0.09024883739588677,28
52,28,0.06258283237480915,23
51,117,0.06226265787485105,115
50,88,1.2279857649565686,78
49,134,0.831167840648421,130
48,143,0.5503047177583417,131
47,209,0.7147479320135696,191
46,174,0.41614962061353766,150
45,57,0.5298797975208087,36
44,1213,0.33057813495991273,1208
43,145,0.2989908774818005,10
42,610,0.18642145202555693,609
41,70,1.0140425725,4
40,1,,
39,2,,
38,2,0.23095025457127988,1
37,7,0.12646965902389906,5
36,28,,
35,3,,
34,12,,
33,15,1.4745941486638696,14
32,14,0.741062295692853,10
31,53,0.6024486977916667,24
30,8,0.6744676672453127,5
29,9,,
28,4,,
27,12,,
26,7,2.24675716870613,6
25,62,,
24,5,,
23,3,,
19,1,,
16,1,,
