Iteration,SampleCount,P_DISTANCE_EFF,P_DISTANCE_EFF_Weight
56,49,0.11670690152083334,48
55,154,0.0159333604520548,146
54,70,0.011771893482758622,58
53,34,0.0028226194517241405,29
52,28,0.002842250179166669,24
51,114,0.005851392141592921,113
50,87,0.35457691844,75
49,128,0.06796115459504133,121
48,153,0.022992535833333334,132
47,206,0.0448059294126984,189
46,178,0.0019398493375000006,152
45,53,0.014194413147058837,34
44,1216,0.024467780795698925,1209
43,145,0.0034868791818181994,11
42,614,,
41,65,0.02413837499999997,4
40,1,,
39,3,,
38,1,,
37,7,0.000498833600000001,5
36,28,,
35,2,,
34,12,0.001378886090909093,11
33,17,0.06649735160000003,15
32,13,0.013019605200000018,10
31,53,0.028020003583333317,24
30,8,0.0063189792,5
29,8,,
28,4,0.031712033333333396,3
27,13,0.025951555816666694,12
26,6,0.06799908520000006,5
25,61,0.029697162933333333,60
24,7,,
23,3,,
19,1,,
16,1,,
