Iteration,SampleCount,P_DISTANCE_EFF,P_DISTANCE_EFF_Weight
56,50,,
55,148,0.49509698909093597,142
54,76,0.4642635562894734,60
53,33,0.4866138283458742,30
52,26,0.494650113154537,23
51,113,0.4743827026206633,111
50,91,0.6357955072700375,77
49,131,0.3803106923709345,126
48,148,0.38580372975738797,132
47,213,0.3815731239203582,196
46,171,0.41039003667591767,152
45,56,0.3996951274496434,37
44,1209,0.3993664168004406,1205
43,149,0.3693475791205247,11
42,598,,
41,81,0.48199693832806234,4
40,1,,
39,2,,
38,2,0.40538183804097233,1
37,7,0.29579819312720723,5
36,28,,
35,3,,
34,10,,
33,16,0.4538694049319516,13
32,15,0.3280145133541315,10
31,56,0.28537236319646014,27
30,4,,
29,10,0.35355560745467784,9
28,3,,
27,13,0.2711801777354672,12
26,7,0.6812040311917757,6
25,63,,
24,4,,
23,3,,
19,1,,
16,1,,
