Iteration,SampleCount,P_DISTANCE_EFF,P_DISTANCE_EFF_Weight
56,47,,
55,151,0.0984066247945788,142
54,74,0.0835372073015232,58
53,37,0.07725267168393456,32
52,20,0.05646615912421146,19
51,121,0.055744840043657325,115
50,86,1.1952725778341675,76
49,132,0.8540075846278463,126
48,151,0.5495095058827993,135
47,203,0.7192989340156998,189
46,180,0.4164033024605185,154
45,54,0.515197064306706,37
44,1214,0.32617980019644655,1210
43,143,0.2811386967264579,10
42,603,0.18271830475430567,602
41,77,1.0140425725,4
40,1,,
39,3,,
38,1,,
37,7,0.12486840717580559,5
36,28,,
35,3,,
34,11,,
33,17,1.4352211545200797,15
32,13,0.7400764231829277,10
31,53,0.7157150077572896,24
30,8,0.6741630599078444,5
29,8,,
28,4,1.5344480962216482,3
27,13,0.5433257805121602,12
26,7,2.2484215810585035,6
25,61,,
24,6,,
23,2,,
22,1,,
19,1,,
16,1,,
