Iteration,SampleCount,P_DISTANCE_EFF,P_DISTANCE_EFF_Weight
56,52,0.1201397755394407,51
55,149,0.05853884894814118,144
54,67,0.03099541822472064,53
53,38,0.03432703712104857,28
52,28,0.02226095939639254,23
51,119,0.01658104246697426,117
50,81,0.3644598929457489,73
49,136,0.046342957549702045,127
48,157,0.018326608836985593,142
47,198,0.015585515216861884,191
46,181,0.008725270482883291,157
45,52,0.01626753227096429,38
44,1208,0.011358694548178392,1205
43,148,0.015416677806646408,10
42,601,0.003840981464911044,600
41,79,0.019305075525627234,4
40,1,,
39,1,,
38,3,0.008045677902087156,1
37,7,0.012455527172860175,5
36,28,,
35,2,,
34,12,0.015042106124815852,11
33,18,0.02076196025740575,16
32,9,0.019044103049640212,7
31,53,0.014881594755748776,21
30,11,0.0222897693345227,5
29,7,,
28,5,0.030667341462657646,3
27,13,0.037605452452124474,12
26,7,0.04985306656050496,6
25,63,,
24,4,,
23,3,,
19,1,,
16,1,,
