Iteration,SampleCount,P_DISTANCE_EFF,P_DISTANCE_EFF_Weight
56,49,0.13793913841666666,48
55,152,0.45548237619105814,144
54,68,0.4553416051358695,54
53,38,0.46697428277278735,29
52,26,0.47558628900255545,22
51,116,0.4505085379418756,113
50,87,0.6036240642059696,75
49,139,0.33182474355316427,132
48,142,0.35066482615348776,132
47,214,0.359262068775142,197
46,169,0.42039383782157563,151
45,60,0.4026856671880366,40
44,1203,0.39896871271056317,1202
43,152,0.41342205063200327,11
42,603,,
41,76,0.5894176319529256,4
40,1,,
39,3,,
38,1,,
37,7,0.36947223685385666,5
36,28,,
35,3,,
34,11,,
33,15,0.36546282317210005,13
32,14,0.3811010445971243,9
31,54,0.3249213633816825,24
30,8,0.32052954772623593,5
29,8,,
28,5,0.49503199643340356,4
27,10,,
26,8,0.7776179563773866,5
25,67,0.36779259613963977,66
24,1,,
23,2,,
22,1,,
19,1,,
16,1,,
