Iteration,SampleCount,P_MASS_EST,P_MASS_EST_Weight
56,56,295.3540712425601,53
55,149,211.563789582439,146
54,69,60.65514825542334,57
53,37,36.42966698592003,31
52,21,56.46721048619363,19
51,123,73.92486619103407,117
50,86,853.5633993471938,78
49,131,6364.3882933139785,127
48,148,30995810.38907759,133
47,209,43705761.670026794,193
46,176,624943426919.4258,154
45,54,1153084961622.6602,37
44,1195,607852935936.0475,1191
43,160,185666491242.74045,8
42,612,90243004729.3726,609
41,70,8418687840055.818,4
39,3,192989896119.63834,2
38,2,499518030747.56616,1
37,7,,
36,27,,
35,4,105861388513.05753,3
34,12,,
33,16,312556646102.22424,15
32,11,388017835112.4538,10
31,50,603359967866.0145,48
30,12,721050511713.6516,4
29,10,289488134384.9648,9
28,3,,
27,14,1020328214750.8065,13
26,6,,
25,62,,
24,5,,
23,2,,
22,1,,
19,1,,
16,1,,
