Iteration,SampleCount,P_MASS_EST,P_MASS_EST_Weight
56,52,,
55,147,475.26323851483204,143
54,73,502.170080547768,58
53,33,509.2413098635657,28
52,28,441.3290474846162,23
51,116,482.4767940136258,114
50,84,607.6716322810627,73
49,132,479.2203269970809,123
48,155,389.7723163076762,136
47,204,396.8443726362878,191
46,175,403.07453791341095,151
45,54,364.0184354085334,34
44,1211,270.6794825300071,1204
43,150,335.7962729687459,11
42,605,,
41,72,466.50182339834936,2
40,3,459.86425913763117,1
39,2,,
38,2,86.49408392201997,1
37,5,,
36,28,195.01731315570265,26
35,5,276.66907307445774,3
34,13,,
33,15,,
32,12,297.93641185557334,11
31,54,343.6803514385891,53
30,7,316.2727856679929,4
29,9,468.8322878176113,8
28,4,632.9254254585007,3
27,13,560.537665738304,12
26,7,189.23839440538268,6
25,64,,
24,3,,
23,3,,
19,1,,
16,1,,
