Iteration,SampleCount,P_MASS_EST,P_MASS_EST_Weight
56,53,,
55,148,241.0709666796926,145
54,66,233.28089123150474,53
53,41,223.8545264030566,31
52,24,240.93211874090912,22
51,113,253.12862424866805,110
50,91,518.2973478653138,76
49,136,524.3531952678234,130
48,147,424.32889204520757,135
47,208,530.8901850750807,194
46,173,383.28328532134867,152
45,57,462.1281364759084,38
44,1200,333.0401329598844,1197
43,156,170.7905415383923,10
42,609,175.43867864934896,608
41,71,148.37282136361424,4
40,1,,
39,3,,
38,1,,
37,7,,
36,23,,
35,8,706.0567216220029,3
34,12,,
33,15,594.4628243533807,14
32,14,190.92813074697742,12
31,49,,
30,12,1355.321434394026,5
29,8,,
28,5,1114.9909216534215,4
27,11,,
26,8,118.08276066288498,6
25,58,,
24,9,,
23,3,,
19,1,,
16,1,,
