Iteration,SampleCount,P_MASS_EST,P_MASS_EST_Weight
56,52,,
55,148,482.5254098586003,144
54,73,502.80671485972147,59
53,35,531.0784594602377,31
52,26,451.11497120313805,24
51,111,491.1551193259906,110
50,90,604.9615727066284,75
49,134,526.4139504504503,127
48,150,421.70737310332606,135
47,205,375.20841765406874,191
46,182,403.83459281179387,158
45,52,399.292996573732,39
44,1196,326.17079587221883,1194
43,159,345.03612405245406,10
42,609,342.7500817286285,608
41,71,496.25165980550196,4
40,1,,
39,2,,
38,2,185.688945532059,1
37,6,,
36,25,220.6419780755454,24
35,7,483.55398059491455,3
34,10,,
33,16,510.4224362044008,13
32,12,283.88672067845926,9
31,52,404.7780141126338,49
30,11,517.2651944368694,4
29,10,488.44351551274474,9
28,3,,
27,13,482.8581524874867,12
26,6,573.9665155275007,5
25,64,436.12855410109574,63
24,4,,
23,3,,
19,1,,
16,1,,
