Iteration,SampleCount,P_MASS_EST,P_MASS_EST_Weight
56,53,385.2975882882026,52
55,145,189.30364722258327,141
54,75,295.17454546453575,58
53,35,141.90839443850277,30
52,23,91.10883750539621,20
51,115,97.56934697941405,110
50,87,6480.993239446989,72
49,136,3472.6753754048073,126
48,155,163884.57078540284,139
47,198,89676.41419356277,188
46,183,138028.12910827616,156
45,52,20792.882938423154,37
44,1206,13799.574430892608,1202
43,150,11657.77271091115,9
42,618,4258.255170913562,616
41,63,10852.16396776969,4
40,1,,
39,3,,
38,1,,
37,7,,
36,24,,
35,5,5382.9224785039905,1
34,14,14638.956908944105,12
33,13,19604.153454198156,12
32,14,9176.045792448484,10
31,54,22371.720677480913,52
30,7,16185.221544929564,3
29,11,10288.77496425742,9
28,4,,
27,12,,
26,6,35567.92078234138,5
25,61,31201.41523713717,60
24,7,,
23,3,,
19,1,,
16,1,,
