Iteration,SampleCount,P_MASS_EST,P_MASS_EST_Weight
56,52,404.2188277827451,51
55,139,35.56647154022388,134
54,85,6.1029744540983595,61
53,35,6.502472040606047,33
52,21,,
51,119,21.799020749565212,115
50,84,221.5099412527027,74
49,136,43.31175239648437,128
48,150,14.437900526397057,136
47,202,33.04264906502646,189
46,174,23.917961934662163,148
45,59,7.456685169722223,36
44,1216,13.474200373580512,1211
43,141,2.0044941666666665,9
42,610,4.63340711462171,608
41,71,24.575443,4
40,1,,
39,3,,
38,1,,
37,7,,
36,23,,
35,7,6.197639999999865,2
34,14,1.0166985999999976,13
33,15,,
32,13,1.9862700066666585,12
31,51,,
30,9,80.57261414999992,4
29,8,39.13551157142863,7
28,6,66.09459099999987,4
27,11,,
26,8,1.4537901000000002,6
25,58,,
24,9,,
23,3,,
19,1,,
16,1,,
