Iteration,SampleCount,P_MASS_EST,P_MASS_EST_Weight
56,48,,
55,153,78.71664019066532,145
54,67,39.88093911626039,54
53,39,40.871629987217275,30
52,27,82.84727092982833,24
51,114,57.28723495268192,113
50,90,374.403867355609,78
49,128,216.62466845970323,124
48,150,113.28279832912725,132
47,209,121.44054814239378,192
46,183,63.376053677559895,160
45,46,56.066945099254525,35
44,1214,34.46029264495142,1208
43,146,23.249288949830618,11
42,596,,
41,83,268.85849242814055,4
40,1,,
39,3,,
38,1,,
37,5,,
36,27,54.19462793276788,25
35,6,400.6278793053769,3
34,12,,
33,15,120.59335992976258,14
32,13,25.726857481891138,11
31,50,43.375336607013345,49
30,12,291.9849333551473,5
29,9,,
28,3,,
27,11,224.53023055303018,10
26,9,155.96105778251567,6
25,64,,
24,3,,
23,3,,
19,1,,
16,1,,
