Iteration,SampleCount,P_MASS_EST,P_MASS_EST_Weight
56,52,,
55,145,4.356499400784793e-13,141
54,75,0.05669277938354781,58
53,33,233.52506701980744,28
52,28,236.6468485827263,23
51,113,261.02884783457864,111
50,90,521.0471876491797,76
49,137,526.8398560350416,131
48,144,443.41096095959387,133
47,214,539.6501147512889,198
46,165,385.07896824414183,148
45,59,480.3701688117463,36
44,1200,336.1805710407129,1195
43,158,177.49331653239145,10
42,607,185.51898284496207,606
41,73,155.0287852765459,4
40,1,,
39,3,,
38,1,,
37,7,,
36,26,,
35,5,702.6287954105683,3
34,13,,
33,16,,
32,12,,
31,47,,
30,13,1668.7544548499613,4
29,9,464.44276511869555,8
28,5,1115.4163874652133,4
27,10,,
26,9,118.34869468477925,6
25,64,,
24,3,,
23,3,,
19,1,,
16,1,,
