Iteration,SampleCount,P_MASS_EST,P_MASS_EST_Weight
56,49,,
55,149,202.6328388272327,142
54,79,198.54202849610922,63
53,29,,
52,27,326.7848880023923,23
51,117,239.1916332702663,115
50,87,391.65399643971256,77
49,128,436.8292168617101,123
48,152,286.76034584556476,133
47,208,256.99332776907863,192
46,180,151.36157187365205,157
45,51,216.1353589896036,37
44,1212,112.97088226769445,1208
43,144,59.012339313845985,9
42,594,101.91588466824453,592
41,87,321.5004422336471,4
40,1,,
39,2,,
38,2,1.5166413869484359,1
37,6,,
36,26,165.82831637851385,25
35,6,386.6802677477887,3
34,13,,
33,15,,
32,13,336.0346197711474,12
31,50,,
30,11,498.2194132585842,5
29,7,,
28,5,155.97283626571834,3
27,12,692.2947720293711,11
26,7,450.340188960139,5
25,64,481.57999849735,63
24,4,,
23,3,,
19,1,,
16,1,,
