Iteration,SampleCount,P_MASS_EST,P_MASS_EST_Weight
56,46,577.7863088356467,45
55,154,230.89970567182604,143
54,72,154.1100191261823,57
53,37,182.85505972933998,31
52,25,239.3095687977873,23
51,116,180.68795138794084,114
50,88,457.9073564657714,77
49,131,405.1841290970922,126
48,152,261.84141344539324,136
47,204,252.5188422969131,191
46,174,122.45508798327849,150
45,62,219.49559728541493,41
44,1207,,
43,146,129.01598796120305,10
42,602,74.27532996474739,601
41,78,1197.5585757571237,4
40,1,,
39,3,,
38,1,,
37,7,,
36,25,,
35,6,550.5866006126325,3
34,13,,
33,16,,
32,10,,
31,49,84.7641802646151,47
30,14,394.37560860293405,5
29,7,,
28,5,558.630446896539,3
27,13,536.9699446606695,12
26,7,292.5000920410329,6
25,61,,
24,6,,
23,3,,
19,1,,
16,1,,
