Iteration,SampleCount,P_MASS_EST,P_MASS_EST_Weight
56,53,,
55,148,76.24681412029211,145
54,72,38.757838681223355,59
53,34,41.03285184463761,30
52,26,81.91137324864638,23
51,114,57.316374291680155,112
50,85,394.7153586618862,72
49,133,226.07386747064473,123
48,153,88.29315597329241,134
47,200,116.04711785169631,185
46,181,66.0249825447526,151
45,56,72.49486183643911,36
44,1211,34.838327209454,1206
43,146,21.567016938859545,9
42,619,22.665864965046172,617
41,62,293.75645190379225,4
40,1,,
39,3,,
37,8,20.005145200914015,7
36,26,,
35,3,220.58815093943372,1
34,12,170.3885096613536,10
33,18,142.91188840609078,15
32,11,57.85241690719684,10
31,51,43.872534506675805,49
30,11,297.3699656999768,4
29,10,109.13942727875619,9
28,4,,
27,12,,
26,7,187.49858674842827,6
25,60,,
24,7,,
23,3,,
18,1,,
16,1,,
