Iteration,SampleCount,P_MASS_EST,P_MASS_EST_Weight
56,54,296.77531608150946,53
55,140,244.56444964402698,137
54,77,225.6745617577708,56
53,37,227.96982246434428,30
52,25,246.29714929751106,22
51,115,252.75936482397162,112
50,86,468.28714955787007,73
49,136,529.8754891248667,127
48,142,388.92193822030913,127
47,220,507.9578991779171,198
46,172,366.00784296130104,155
45,55,446.95491803621366,39
44,1210,317.17570477656164,1208
43,145,162.06501386338928,10
42,611,166.14735581633968,610
41,69,140.71231233443524,4
40,1,,
39,3,,
38,1,,
37,6,,
36,25,125.71718378130626,24
35,7,713.7437761776806,3
34,12,,
33,15,628.2101215448879,14
32,14,187.21296665335876,12
31,49,,
30,11,1673.401123250461,4
29,8,502.8049855070762,7
28,6,1110.8527656812487,4
27,12,,
26,7,113.02966098438422,6
25,58,,
24,9,,
23,3,,
18,1,,
16,1,,
