Iteration,SampleCount,P_MASS_EST,P_MASS_EST_Weight
56,53,,
55,142,242.62180289673455,139
54,75,223.05781895946203,56
53,36,221.55003424446676,29
52,27,233.19789866648856,23
51,108,240.20522171326638,106
50,93,500.76304954834194,74
49,137,550.9557199046933,129
48,147,425.14648194239726,134
47,210,531.054382151869,195
46,174,384.0499073281119,154
45,50,486.77001967743075,33
44,1213,334.88795813652996,1205
43,149,171.70266344417615,11
42,608,,
41,71,148.72705676804014,4
40,1,,
39,3,,
38,1,,
37,6,,
36,27,137.5881227080561,26
35,4,735.3782114512732,2
34,13,169.8832572966001,12
33,13,567.2869728446668,12
32,15,181.57760251553475,11
31,52,143.99099959098976,51
30,10,1355.4330985874246,5
29,9,,
28,4,,
27,12,,
26,7,118.12431837541543,6
25,61,,
24,6,,
23,3,,
19,1,,
16,1,,
