Iteration,SampleCount,P_MASS_EST,P_MASS_EST_Weight
56,55,259.5170802802132,53
55,145,86.30701987434453,142
54,71,35.68328505104229,55
53,39,36.37958157409689,31
52,25,86.21198699375758,23
51,120,47.19044604841617,118
50,81,410.52696373969934,74
49,138,208.73008826949723,130
48,147,94.73413445088607,135
47,204,106.63576871389236,190
46,179,53.22880011886296,154
45,57,53.57883675319126,40
44,1203,33.020629000663526,1202
43,152,19.149013797399466,11
42,602,,
41,77,300.20266933203504,4
40,1,,
39,2,,
38,2,15.495819664782658,1
37,6,,
36,24,39.507030194895584,23
35,8,457.47619602250626,3
34,11,,
33,16,110.19647571550244,14
32,13,49.81294760941479,11
31,52,40.28041666415606,51
30,9,253.7741629871653,4
29,10,92.39216997178062,9
28,3,,
27,14,205.16421185667693,13
26,6,,
25,56,,
24,11,,
23,2,,
22,1,,
19,1,,
16,1,,
