Iteration,SampleCount,P_MASS_EST,P_MASS_EST_Weight
56,54,321.57237852440505,51
55,151,90.87477620449265,146
54,70,39.230962841394486,58
53,33,37.99200723405261,28
52,26,89.63374817133165,21
51,118,53.43319590869881,114
50,87,370.79704567587225,76
49,126,185.0286687228598,120
48,158,91.24412567850098,136
47,208,131.7627074645986,195
46,176,63.36665928604592,156
45,52,65.16612888413995,37
44,1197,37.16757392389674,1193
43,159,18.13193245517627,9
42,612,23.620117155436354,610
41,69,276.73978720580646,4
40,1,,
39,2,,
38,2,13.327061944919421,1
37,6,,
36,27,39.12879525120803,26
35,5,499.2004355876244,3
34,13,,
33,12,,
32,15,47.29662574394882,11
31,54,43.81076234790941,53
30,8,305.95842802666857,5
29,9,,
28,4,,
27,12,,
26,6,214.28169439954507,5
25,62,186.0554818475983,61
24,6,,
23,3,,
19,1,,
16,1,,
